ID,TWEET,DATE,GEOLABEL,PLACE,WORDSF,LABELS,RATE,TARGET
1427410000000000000,summer camp agosto balneario higueras zapotitlan,16/08/2021 23:16,"20.32614108, -103.50368093",TC,"['summer', 'camp', 'agosto', 'balneario', 'higueras', 'zapotitlan']",['turismo'],1,1
1428000000000000000,ess zapotitlan unas grutas bonitas,18/08/2021 14:05,nan,TC,"['ess', 'zapotitlan', 'unas', 'grutas', 'bonitas']",['turismo'],1,1
1428130000000000000,proximo viernes agosto celebracion diadelcinemexicano continua tehuacan estreno cosas imposibles ynosvemosenlasala cine clasico siglo xx complejo cultural carmen hcineentehuacan ,18/08/2021 22:50,nan,TC,"['proximo', 'viernes', 'agosto', 'celebracion', 'diadelcinemexicano', 'continua', 'tehuacan', 'estreno', 'cosas', 'imposibles', 'ynosvemosenlasala', 'cine', 'clasico', 'siglo', 'xx', 'complejo', 'cultural', 'carmen', 'hcineentehuacan', '']","['festivo', 'turismo', 'festivo']",2,1
1428500000000000000,querataro prepara uaq festival internacional cultura sierra gorda objetivo dar conocer tradiciones vestimenta gastronomia musica historia aspectos culturales zona serrana ,19/08/2021 23:44,nan,SG,"['querataro', 'prepara', 'uaq', 'festival', 'internacional', 'cultura', 'sierra', 'gorda', 'objetivo', 'dar', 'conocer', 'tradiciones', 'vestimenta', 'gastronomia', 'musica', 'historia', 'aspectos', 'culturales', 'zona', 'serrana', '']","['turismo', 'festivo', 'festivo', 'festivo']",2.5,1
1428650000000000000,conoce glass gem maiz colores tambian cultiva region tehuacan,20/08/2021 09:30,nan,TC,"['conoce', 'glass', 'gem', 'maiz', 'colores', 'tambian', 'cultiva', 'region', 'tehuacan']",['turismo'],1,1
1428720000000000000,proximo fin voy acampar sierra gorda si si ,20/08/2021 13:49,nan,SG,"['proximo', 'fin', 'voy', 'acampar', 'sierra', 'gorda', 'si', 'si', '']","['turismo', 'turismo']",2,1
1428730000000000000,viernesdeaventura cascada chuveje destinos imperdibles sierra gorda queretana recuerda llevar botas tenis comodos,20/08/2021 14:42,nan,SG,"['viernesdeaventura', 'cascada', 'chuveje', 'destinos', 'imperdibles', 'sierra', 'gorda', 'queretana', 'recuerda', 'llevar', 'botas', 'tenis', 'comodos']","['turismo', 'turismo']",2,1
1428750000000000000,hoy continuamos celebracion diadelcinemexicano tehuacan cosas imposibles nosvemosenlasala cine clasico siglo xx complejo cultural carmen hcineentehuacan ,20/08/2021 16:10,nan,TC,"['hoy', 'continuamos', 'celebracion', 'diadelcinemexicano', 'tehuacan', 'cosas', 'imposibles', 'nosvemosenlasala', 'cine', 'clasico', 'siglo', 'xx', 'complejo', 'cultural', 'carmen', 'hcineentehuacan', '']","['festivo', 'turismo', 'festivo']",2,1
1429090000000000000,ayer abrimos muestra artesanal sierra gorda ofrecera ventana formidable quehaceres tradicionales region invito visitarla casa artesanias guanajuato,21/08/2021 14:33,nan,SG,"['ayer', 'abrimos', 'muestra', 'artesanal', 'sierra', 'gorda', 'ofrecera', 'ventana', 'formidable', 'quehaceres', 'tradicionales', 'region', 'invito', 'visitarla', 'casa', 'artesanias', 'guanajuato']","['turismo', 'turismo', 'turismo']",3,1
1429100000000000000,invitamos conocer muestra artesanal sierra gorda muestran productos region guanajuatense visitala casa artesanias guanajuato capital cada fin semana aqui septiembre,21/08/2021 15:01,nan,SG,"['invitamos', 'conocer', 'muestra', 'artesanal', 'sierra', 'gorda', 'muestran', 'productos', 'region', 'guanajuatense', 'visitala', 'casa', 'artesanias', 'guanajuato', 'capital', 'cada', 'fin', 'semana', 'aqui', 'septiembre']","['turismo', 'turismo']",2,1
1429150000000000000,proyeccion cosas imposibles dia ayer viernes sala cine clasico siglo xx tehuacan parte diadelcinemexicano todoloquevemos cineentehuacan ,21/08/2021 18:23,nan,TC,"['proyeccion', 'cosas', 'imposibles', 'dia', 'ayer', 'viernes', 'sala', 'cine', 'clasico', 'siglo', 'xx', 'tehuacan', 'parte', 'diadelcinemexicano', 'todoloquevemos', 'cineentehuacan', '']",['turismo'],1,1
1429210000000000000,huapangueras sierra gorda queretana recomendables,21/08/2021 22:35,nan,SG,"['huapangueras', 'sierra', 'gorda', 'queretana', 'recomendables']",['turismo'],1,1
1429560000000000000,invitamos proximo jueves agosto feria chileennogadaanos tehuacan puedes perder pueblateespera,22/08/2021 21:27,nan,TC,"['invitamos', 'proximo', 'jueves', 'agosto', 'feria', 'chileennogadaanos', 'tehuacan', 'puedes', 'perder', 'pueblateespera']",['turismo'],1,1
1429610000000000000,escenarios prepandamicos queretaro sierragorda puentededios puente dios rio escanela sierra gorda querataro,23/08/2021 01:11,"21.2179519, -99.47420212",SG,"['escenarios', 'prepandamicos', 'queretaro', 'sierragorda', 'puentededios', 'puente', 'dios', 'rio', 'escanela', 'sierra', 'gorda', 'querataro']",['turismo'],1,1
1429800000000000000,sierra gorda querataro afan promover gastronomia regional queretana creo asociacion cocineros queretanos pertenezco compartir cocineros estan estudiando gastronomia asi chefs trabajan,23/08/2021 13:56,nan,SG,"['sierra', 'gorda', 'querataro', 'afan', 'promover', 'gastronomia', 'regional', 'queretana', 'creo', 'asociacion', 'cocineros', 'queretanos', 'pertenezco', 'compartir', 'cocineros', 'estan', 'estudiando', 'gastronomia', 'asi', 'chefs', 'trabajan']","['festivo', 'festivo']",1,1
1429840000000000000,conoce mas acerca distinguida biologa botanica mexicana helia bravo hollis capitulo debemos yaaivisita,23/08/2021 16:00,nan,TC,"['conoce', 'mas', 'acerca', 'distinguida', 'biologa', 'botanica', 'mexicana', 'helia', 'bravo', 'hollis', 'capitulo', 'debemos', 'yaaivisita']",['turismo'],1,1
1429840000000000000,ahora invita feria chileennogada tehuacan proximo agosto pm ,23/08/2021 16:19,nan,TC,"['ahora', 'invita', 'feria', 'chileennogada', 'tehuacan', 'proximo', 'agosto', 'pm', '']","['turismo', 'turismo']",2,1
1429860000000000000,atencion anuncia feria chileennogada municipio tehuacan puebla exposicion venta tradicional producto realizara proximo agosto ,23/08/2021 17:23,nan,TC,"['atencion', 'anuncia', 'feria', 'chileennogada', 'municipio', 'tehuacan', 'puebla', 'exposicion', 'venta', 'tradicional', 'producto', 'realizara', 'proximo', 'agosto', '']","['turismo', 'social', 'turismo']",1,1
1429870000000000000,invita proximo agosto feria chile nogada llevara cabo tehuacan,23/08/2021 18:11,nan,TC,"['invita', 'proximo', 'agosto', 'feria', 'chile', 'nogada', 'llevara', 'cabo', 'tehuacan']","['turismo', 'turismo']",2,1
1430170000000000000,cueva gruta diablo cerrada puedes acceder cascadas dibujos rupestres ademas pernoctar unas hermosas cabanas,24/08/2021 14:02,nan,SG,"['cueva', 'gruta', 'diablo', 'cerrada', 'puedes', 'acceder', 'cascadas', 'dibujos', 'rupestres', 'ademas', 'pernoctar', 'unas', 'hermosas', 'cabanas']","['turismo', 'turismo', 'vial', 'turismo', 'turismo']",3,1
1430200000000000000,visita exposicion lele viste queratarocuraduria mtra aurora zuniga martes domingo hhasta agosto museo historico sierra gordajalpan serra,24/08/2021 16:19,nan,SG,"['visita', 'exposicion', 'lele', 'viste', 'queratarocuraduria', 'mtra', 'aurora', 'zuniga', 'martes', 'domingo', 'hhasta', 'agosto', 'museo', 'historico', 'sierra', 'gordajalpan', 'serra']","['turismo', 'turismo']",2,1
1430600000000000000,mirador palos sierra gorda queretaro hermoso,25/08/2021 18:40,nan,SG,"['mirador', 'palos', 'sierra', 'gorda', 'queretaro', 'hermoso']","['turismo', 'turismo']",2,1
1430910000000000000,momento actividades turismo naturaleza estan autorizadas zapotitlan,26/08/2021 15:09,nan,TC,"['momento', 'actividades', 'turismo', 'naturaleza', 'estan', 'autorizadas', 'zapotitlan']","['turismo', 'turismo']",2,1
1430950000000000000,hoy invitamos asistas feria chileennogadaanos tehuacan puedes perder pueblateespera,26/08/2021 18:00,nan,TC,"['hoy', 'invitamos', 'asistas', 'feria', 'chileennogadaanos', 'tehuacan', 'puedes', 'perder', 'pueblateespera']",['turismo'],1,1
1430960000000000000,viernes agosto continuamos celebracion diadelcinemexicano tehuacan invasion pablo nieto auikanime hambre pavel r guillannosvemosenlasala cine clasico siglo xx h entrada libre cineentehuacan ,26/08/2021 18:12,nan,TC,"['viernes', 'agosto', 'continuamos', 'celebracion', 'diadelcinemexicano', 'tehuacan', 'invasion', 'pablo', 'nieto', 'auikanime', 'hambre', 'pavel', 'r', 'guillannosvemosenlasala', 'cine', 'clasico', 'siglo', 'xx', 'h', 'entrada', 'libre', 'cineentehuacan', '']","['festivo', 'turismo']",1.5,1
1430980000000000000,seguimos celebracion chileennogadaanosparticipamos titular presidenta feria chile nogada tehuacan region gran riqueza cultural gastronomica,26/08/2021 19:33,nan,TC,"['seguimos', 'celebracion', 'chileennogadaanosparticipamos', 'titular', 'presidenta', 'feria', 'chile', 'nogada', 'tehuacan', 'region', 'gran', 'riqueza', 'cultural', 'gastronomica']","['festivo', 'turismo', 'festivo', 'festivo']",2.5,1
1431270000000000000,viernesdeaventura ysla cascada chuveje encuentra municipio pinal amoles si viajas querataro tomara casi horas llegar destino imperdible,27/08/2021 15:04,nan,SG,"['viernesdeaventura', 'ysla', 'cascada', 'chuveje', 'encuentra', 'municipio', 'pinal', 'amoles', 'si', 'viajas', 'querataro', 'tomara', 'casi', 'horas', 'llegar', 'destino', 'imperdible']","['turismo', 'social', 'turismo']",1,1
1431290000000000000,visita exposicion lele viste queratarocuraduria mtra aurora zuniga martes domingo htodo agosto museo historico sierra gordajalpan serra,27/08/2021 16:19,nan,SG,"['visita', 'exposicion', 'lele', 'viste', 'queratarocuraduria', 'mtra', 'aurora', 'zuniga', 'martes', 'domingo', 'htodo', 'agosto', 'museo', 'historico', 'sierra', 'gordajalpan', 'serra']","['turismo', 'turismo']",2,1
1431320000000000000,giraficunam llega tehuacan puebla travas nminente cine septiembre aqui programacion ,27/08/2021 17:59,"18.4664537056607, -97.4000858726468",TC,"['giraficunam', 'llega', 'tehuacan', 'puebla', 'travas', 'nminente', 'cine', 'septiembre', 'aqui', 'programacion', '']",['turismo'],1,1
1431610000000000000,sotano huahuas espectaculo natural vistas mundo,28/08/2021 13:10,"21.524999742911195, -99.03560913882703",SG,"['sotano', 'huahuas', 'espectaculo', 'natural', 'vistas', 'mundo']","['turismo', 'turismo', 'turismo', 'social']",2,1
1431630000000000000,contestando preguntas mas frecuentes recibimos si sierradequila existen varios puntos recomendados realizar campamentos preferidos cruz betania cascada cianega cianega cerro huehuenton todossomossierradequila,28/08/2021 14:43,"18.341143583126172, -97.2588191891385",TC,"['contestando', 'preguntas', 'mas', 'frecuentes', 'recibimos', 'si', 'sierradequila', 'existen', 'varios', 'puntos', 'recomendados', 'realizar', 'campamentos', 'preferidos', 'cruz', 'betania', 'cascada', 'cianega', 'cianega', 'cerro', 'huehuenton', 'todossomossierradequila']","['turismo', 'turismo']",2,1
1431640000000000000,redescubre naturaleza gastronomia cultura michoacan celebralavidaangel resandiz cascada salto guadalupe pichl quiroga ,28/08/2021 15:30,"21.12954212779852, -99.52207948177637",SG,"['redescubre', 'naturaleza', 'gastronomia', 'cultura', 'michoacan', 'celebralavidaangel', 'resandiz', 'cascada', 'salto', 'guadalupe', 'pichl', 'quiroga', '']","['turismo', 'festivo', 'festivo', 'turismo']",3,1
1431690000000000000,puerta cielo pinal amoles hace honor nombre pues entrada parte mas alta montanas increibles paisajes sierra gorda querataro,28/08/2021 18:42,"21.29108471792535, -99.62264538508309",SG,"['puerta', 'cielo', 'pinal', 'amoles', 'hace', 'honor', 'nombre', 'pues', 'entrada', 'parte', 'mas', 'alta', 'montanas', 'increibles', 'paisajes', 'sierra', 'gorda', 'querataro']","['clima', 'turismo', 'turismo', 'turismo']",2,1
1431740000000000000,pides vista san antonio cal toliman chulada buena vista excelente comida,28/08/2021 21:53,"20.90986878621299, -99.93251435759566",SG,"['pides', 'vista', 'san', 'antonio', 'cal', 'toliman', 'chulada', 'buena', 'vista', 'excelente', 'comida']","['turismo', 'turismo', 'festivo']",2.5,1
1431850000000000000,hermoso zapotitlan pue,29/08/2021 05:05,"18.33468137803632, -97.46783855667802",TC,"['hermoso', 'zapotitlan', 'pue']",['turismo'],1,1
1432000000000000000,buendia iniciamos domingo hermoso paisaje huautla oaxaca oaxacademisamores,29/08/2021 15:29,"18.13360086241393, -96.84367450303422",TC,"['buendia', 'iniciamos', 'domingo', 'hermoso', 'paisaje', 'huautla', 'oaxaca', 'oaxacademisamores']","['turismo', 'turismo']",2,1
1432010000000000000,planeta aqui decimos color rojizo llegar espectacular paisaje felizfinde,29/08/2021 15:53,"21.050832448836477, -99.29576590881403",SG,"['planeta', 'aqui', 'decimos', 'color', 'rojizo', 'llegar', 'espectacular', 'paisaje', 'felizfinde']",['turismo'],1,1
1432020000000000000,conoce cascada tamul mas altas mexico pueblo magico aquismon san luis potosi vivesanluispotosi ,29/08/2021 16:19,"21.803452452200606, -99.18064041563649",SG,"['conoce', 'cascada', 'tamul', 'mas', 'altas', 'mexico', 'pueblo', 'magico', 'aquismon', 'san', 'luis', 'potosi', 'vivesanluispotosi', '']","['turismo', 'turismo', 'turismo', 'turimo']",2,1
1432030000000000000,olvides visitar muestra artesanal sierra gorda instalada casa artesanias guanajuato capital pasos jardin union,29/08/2021 17:02,"21.429741235257406, -99.32242911677466",SG,"['olvides', 'visitar', 'muestra', 'artesanal', 'sierra', 'gorda', 'instalada', 'casa', 'artesanias', 'guanajuato', 'capital', 'pasos', 'jardin', 'union']","['turismo', 'turismo', 'turismo']",3,1
1432040000000000000,buenos dias acapulco nublado colas caballlo hermosas cascadas cueva diablo quebrada,29/08/2021 17:40,"20.835129160683483, -98.6333677295777",SG,"['buenos', 'dias', 'acapulco', 'nublado', 'colas', 'caballlo', 'hermosas', 'cascadas', 'cueva', 'diablo', 'quebrada']","['turismo', 'turismo', 'turismo']",3,1
1432050000000000000,landa matamoros zonas mas ricas tarminos paleontologicos naturales historicos culturales maxico,29/08/2021 18:30,"21.1843138936843, -99.31969658221064",SG,"['landa', 'matamoros', 'zonas', 'mas', 'ricas', 'tarminos', 'paleontologicos', 'naturales', 'historicos', 'culturales', 'maxico']",['turismo'],1,1
1432090000000000000,aqui mas info museo carrington slp xilitla ,29/08/2021 21:31,"21.384892713884096, -98.99300715031478",SG,"['aqui', 'mas', 'info', 'museo', 'carrington', 'slp', 'xilitla', '']",['turismo'],1,1
1432110000000000000,conociendo rincon mas mexico cascada velo novia ocoyoacac,29/08/2021 22:21,"19.275656, -99.4612934",TC,"['conociendo', 'rincon', 'mas', 'mexico', 'cascada', 'velo', 'novia', 'ocoyoacac']",['turismo'],1,1
